id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Under 5 years,Estimate!!SEX AND AGE!!5 to 9 years,Estimate!!SEX AND AGE!!10 to 14 years,Estimate!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Estimate!!SEX AND AGE!!25 to 34 years,Estimate!!SEX AND AGE!!35 to 44 years,Estimate!!SEX AND AGE!!45 to 54 years,Estimate!!SEX AND AGE!!55 to 59 years,Estimate!!SEX AND AGE!!60 to 64 years,Estimate!!SEX AND AGE!!65 to 74 years,Estimate!!SEX AND AGE!!75 to 84 years,Estimate!!SEX AND AGE!!85 years and over,Estimate!!SEX AND AGE!!Median age (years),Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!18 years and over!!Male,Estimate!!SEX AND AGE!!18 years and over!!Female,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!65 years and over!!Male,Estimate!!SEX AND AGE!!65 years and over!!Female
0500000US01003,"Baldwin County, Alabama",208563,100902,107661,10938,13516,13190,13478,10454,24663,23384,28689,14891,14739,24102,12609,3910,42.4,162608,154216,49785,40621,162608,77620,84988,40621,18755,21866
0500000US01015,"Calhoun County, Alabama",114611,55491,59120,6073,7297,6896,8122,8005,14623,14083,14990,7457,8103,11229,5570,2163,39.1,89658,84395,24443,18962,89658,42513,47145,18962,8002,10960
0500000US01043,"Cullman County, Alabama",82471,40699,41772,4856,4650,5206,5069,5221,10351,10056,11146,5507,5325,9125,4692,1267,40.4,64471,61358,17760,15084,64471,31628,32843,15084,6666,8418
0500000US01049,"DeKalb County, Alabama",70900,34509,36391,3951,4220,5518,5587,3397,8571,9329,9552,4481,4430,7460,3560,844,39.8,53791,50606,14257,11864,53791,26115,27676,11864,4953,6911
0500000US01051,"Elmore County, Alabama",81799,39956,41843,4284,5826,5481,4533,5451,11622,10823,11361,5945,4483,7416,2960,1614,38.3,63172,60367,13865,11990,63172,30090,33082,11990,5354,6636
0500000US01055,"Etowah County, Alabama",102564,49861,52703,5505,5900,6703,7137,6215,11409,12262,14527,8888,5333,11157,5544,1984,41.2,79902,75741,21608,18685,79902,38102,41800,18685,7996,10689
0500000US01069,"Houston County, Alabama",104056,50015,54041,6221,6912,6867,6673,5914,13593,12681,13861,7748,6083,10210,5432,1861,39.5,79619,76305,20852,17503,79619,37213,42406,17503,7437,10066
0500000US01073,"Jefferson County, Alabama",659521,310913,348608,42831,42675,41278,40998,42627,95118,83165,83696,46027,41225,57279,29423,13179,38,507739,482044,123762,99881,507739,233963,273776,99881,40491,59390
0500000US01077,"Lauderdale County, Alabama",92318,45121,47197,4944,4888,5052,6810,7304,10704,10779,11550,6579,6553,9784,5091,2280,41.6,73393,68201,20632,17155,73393,34631,38762,17155,7575,9580
0500000US01081,"Lee County, Alabama",158991,79257,79734,9170,10417,8797,13761,21850,23465,17921,19720,9102,7212,11038,4984,1554,31,124912,111780,21954,17576,124912,60909,64003,17576,7831,9745
0500000US01083,"Limestone County, Alabama",92753,47635,45118,4701,5407,6813,6970,4951,12571,12241,14044,6415,5197,8496,3112,1835,38.8,71433,68246,17347,13443,71433,35499,35934,13443,6021,7422
0500000US01089,"Madison County, Alabama",356967,174569,182398,20121,23603,21283,23256,24816,48747,44813,50994,27223,20615,29597,15996,5903,38.8,278114,262698,64051,51496,278114,134123,143991,51496,22662,28834
0500000US01095,"Marshall County, Alabama",95157,46338,48819,6254,6553,6529,6278,5153,12517,11469,12204,6539,5671,9461,5624,905,38,71657,68778,19555,15990,71657,34497,37160,15990,6831,9159
0500000US01097,"Mobile County, Alabama",414836,197818,217018,26896,26942,27095,27545,27817,57734,49476,52835,28339,26534,38279,18062,7282,37.4,316517,300748,80504,63623,316517,148518,167999,63623,27359,36264
0500000US01101,"Montgomery County, Alabama",226349,107250,119099,15417,16197,12193,15134,16351,33610,28374,28524,15254,13446,18468,9661,3720,36.4,173781,164525,39533,31849,173781,80390,93391,31849,13246,18603
0500000US01103,"Morgan County, Alabama",119012,59211,59801,6751,8418,6649,8844,6138,13931,15726,16746,8615,7025,11920,5770,2479,40.7,91671,86797,24539,20169,91671,44531,47140,20169,8766,11403
0500000US01115,"St. Clair County, Alabama",88019,44199,43820,5325,5045,6223,4911,5110,11539,11032,13041,6208,5164,8459,4466,1496,40.3,67803,65559,18311,14421,67803,33347,34456,14421,6482,7939
0500000US01117,"Shelby County, Alabama",210622,101886,108736,12480,12687,16111,14256,11248,25994,31160,29997,13921,13096,18385,7935,3352,38.9,160071,153001,37084,29672,160071,76650,83421,29672,13150,16522
0500000US01121,"Talladega County, Alabama",80103,39813,40290,4178,6047,4174,5330,4241,9874,10184,11026,6043,5209,8319,4011,1467,40.8,62524,59621,17273,13797,62524,29767,32757,13797,6155,7642
0500000US01125,"Tuscaloosa County, Alabama",206102,99017,107085,12376,12019,11870,17624,24216,31080,24939,22962,11752,11873,15511,6241,3639,32.9,162735,147768,32770,25391,162735,77059,85676,25391,10794,14597
0500000US01127,"Walker County, Alabama",64967,32091,32876,3958,4205,3470,4217,3670,7778,7530,8769,4952,3930,7444,3711,1333,41.8,50572,48516,14712,12488,50572,24123,26449,12488,5327,7161
0500000US02020,"Anchorage Municipality, Alaska",298192,152882,145310,21661,20655,19468,19412,23467,52809,39268,36160,19589,16618,19287,6652,3146,33,224224,213118,38691,29085,224224,114143,110081,29085,13595,15490
0500000US02090,"Fairbanks North Star Borough, Alaska",100605,55651,44954,7185,7662,6343,6410,11896,17886,11544,11327,6733,5013,6170,1999,437,30.6,76096,70981,11067,8606,76096,42328,33768,8606,4388,4218
0500000US02170,"Matanuska-Susitna Borough, Alaska",104365,54259,50106,7301,7958,8380,7372,7155,14812,13397,13455,8069,5803,7382,2484,797,34.2,75994,72496,13967,10663,75994,39571,36423,10663,5337,5326
0500000US04001,"Apache County, Arizona",73112,35514,37598,4860,5747,6483,6335,4507,8994,8398,8546,4035,4574,6498,3139,996,34.6,52162,48377,12522,10633,52162,25596,26566,10633,4976,5657
0500000US04003,"Cochise County, Arizona",125770,63326,62444,7557,8255,7328,7740,7052,16154,13584,14883,6754,9911,15466,8457,2629,40.8,97976,93286,32806,26552,97976,49647,48329,26552,12614,13938
0500000US04005,"Coconino County, Arizona",140908,70483,70425,7624,7568,8614,17372,17864,17194,15174,15893,9026,7932,10498,4266,1883,30.9,111864,94670,21267,16647,111864,55340,56524,16647,7896,8751
0500000US04013,"Maricopa County, Arizona",4242997,2097936,2145061,281761,288903,292454,289116,283922,608882,552398,543539,248578,233515,362189,185429,72311,36.2,3202882,3034378,754123,619929,3202882,1566693,1636189,619929,279340,340589
0500000US04015,"Mohave County, Arizona",205249,103278,101971,8957,10546,10456,11038,8980,21037,18042,24481,16295,16476,34795,17608,6538,50.6,168384,162605,69233,58941,168384,84431,83953,58941,29319,29622
0500000US04017,"Navajo County, Arizona",110026,55099,54927,7792,8794,8458,8186,6037,14279,11511,12347,7231,7061,11143,5611,1576,36.3,79312,75388,21644,18330,79312,39528,39784,18330,8599,9731
0500000US04019,"Pima County, Arizona",1016206,499791,516415,59029,60807,59594,69655,90201,125100,113791,115628,61688,66979,110989,60334,22411,38.3,798539,746088,233282,193734,798539,388711,409828,193734,87822,105912
0500000US04021,"Pinal County, Arizona",418540,217387,201153,24446,29550,27845,25962,23018,53102,55455,46625,25932,23195,52074,25343,5993,39.2,320300,307208,98009,83410,320300,167581,152719,83410,40513,42897
0500000US04025,"Yavapai County, Arizona",225562,110885,114677,8356,11747,10526,13227,9437,19565,19362,26041,16804,23117,40051,20373,6956,53.1,188282,177494,81352,67380,188282,91160,97122,67380,32612,34768
0500000US04027,"Yuma County, Arizona",205631,106203,99428,14916,15975,13007,14426,17572,27534,22430,21716,9736,10323,19458,15180,3358,34.8,153248,144684,44135,37996,153248,79264,73984,37996,18161,19835
0500000US05007,"Benton County, Arkansas",258291,128175,130116,18576,19769,19940,17336,14161,37940,36806,32737,14913,12523,19986,9535,4069,35.4,189085,179822,40360,33590,189085,92643,96442,33590,15226,18364
0500000US05031,"Craighead County, Arkansas",105835,52521,53314,6873,8634,6007,9908,6892,15318,13812,12197,6362,5374,8544,4038,1876,34.5,79739,73191,17880,14458,79739,39001,40738,14458,5963,8495
0500000US05045,"Faulkner County, Arkansas",122227,59273,62954,7436,7790,8656,10159,13510,17224,15527,14504,6829,5927,8892,4009,1764,33.1,93857,85702,18151,14665,93857,44826,49031,14665,6428,8237
0500000US05051,"Garland County, Arkansas",97477,47024,50453,5483,7189,4339,6045,4995,10783,10940,12008,8664,5544,12163,6539,2785,44,77082,73223,25261,21487,77082,36461,40621,21487,9849,11638
0500000US05069,"Jefferson County, Arkansas",70016,34819,35197,4215,3566,5202,4896,5349,8113,8505,8942,5227,4614,6651,3231,1505,39,54176,51116,13621,11387,54176,26459,27717,11387,4978,6409
0500000US05085,"Lonoke County, Arkansas",72228,35917,36311,4742,4413,5581,5077,4390,10190,9399,9691,4380,4388,6078,3120,779,36.4,53793,52083,12467,9977,53793,26205,27588,9977,4358,5619
0500000US05119,"Pulaski County, Arkansas",393250,188529,204721,26098,29456,22239,24578,25771,57408,48680,51115,25485,25869,33820,16174,6557,36.8,300615,285925,72061,56551,300615,140966,159649,56551,23844,32707
0500000US05125,"Saline County, Arkansas",118703,59231,59472,7177,7790,8102,7946,5911,15477,14927,15877,7294,7336,12278,7429,1159,41,90878,86043,25966,20866,90878,44626,46252,20866,9471,11395
0500000US05131,"Sebastian County, Arkansas",127793,61949,65844,8060,9070,8164,8854,7520,17553,16070,16922,9163,6923,11923,5223,2348,37.8,96840,91214,23241,19494,96840,46455,50385,19494,8472,11022
0500000US05143,"Washington County, Arkansas",228049,113146,114903,15401,15084,16757,19082,25027,33502,28949,25758,11125,10875,15799,7669,3021,31.5,171815,156265,33194,26489,171815,84797,87018,26489,11801,14688
0500000US05145,"White County, Arkansas",79263,38113,41150,5457,4743,5435,6469,5853,10489,9352,10145,4687,4252,7165,3729,1487,35.8,60509,54266,14207,12381,60509,28710,31799,12381,5401,6980
0500000US06001,"Alameda County, California",1647704,809120,838584,97792,97766,94636,94677,103650,272967,243462,226475,107374,93487,127375,58931,29112,37.4,1302218,1243171,268980,215418,1302218,632053,670165,215418,93967,121451
0500000US06007,"Butte County, California",226864,111727,115137,11488,14552,12159,15984,24925,27079,23961,26551,15335,13774,23892,11582,5582,38.1,181186,166501,49286,41056,181186,87866,93320,41056,18209,22847
0500000US06013,"Contra Costa County, California",1135127,554517,580610,66024,73469,75758,72307,68400,144333,151293,165527,78053,70123,99205,48402,22233,39.5,873571,834018,211128,169840,873571,421511,452060,169840,74338,95502
0500000US06017,"El Dorado County, California",185625,93447,92178,8523,11750,9976,11860,9247,17660,21081,27621,17435,14843,22049,8337,5243,46.1,147684,141392,45232,35629,147684,73181,74503,35629,17170,18459
0500000US06019,"Fresno County, California",979915,489186,490729,78927,78038,78810,71944,73215,148909,119815,112412,55294,46457,67743,32129,16222,32.1,699456,655969,140121,116094,699456,346062,353394,116094,51848,64246
0500000US06023,"Humboldt County, California",136646,67540,69106,6819,7141,8158,9112,13704,17593,17010,15368,9896,8894,14848,5414,2689,37.9,110070,103955,27811,22951,110070,54541,55529,22951,10586,12365
0500000US06025,"Imperial County, California",180883,92611,88272,14948,13917,14166,14376,14055,26063,21409,20350,9411,9055,12720,7150,3263,32.5,129129,121110,28225,23133,129129,65786,63343,23133,10203,12930
0500000US06029,"Kern County, California",884788,454117,430671,70930,73086,72557,65852,69498,136121,110617,102432,51373,40749,55641,25234,10698,31.3,626589,589264,116015,91573,626589,322624,303965,91573,41573,50000
0500000US06031,"Kings County, California",149785,82378,67407,11702,10298,12711,9868,13125,24398,19366,19731,7708,6503,8027,4712,1636,31.8,108847,102231,17873,14375,108847,61837,47010,14375,6451,7924
0500000US06033,"Lake County, California",64116,31258,32858,3369,3971,3869,3450,1847,6166,8149,7866,5805,4491,9278,3905,1950,46.5,50829,49230,17817,15133,50829,24813,26016,15133,7303,7830
0500000US06037,"Los Angeles County, California",10137915,4994405,5143510,628305,621873,614183,655202,740323,1613327,1383874,1383893,639266,549096,742236,388753,177584,36.3,7884800,7467576,1614775,1308573,7884800,3842514,4042286,1308573,565210,743363
0500000US06039,"Madera County, California",154697,74406,80291,11213,12756,11754,11264,11706,21397,18625,18155,9580,7788,12803,5593,2063,33.6,112155,106124,24868,20459,112155,53072,59083,20459,9958,10501
0500000US06041,"Marin County, California",260651,126528,134123,12754,14852,16410,14597,11813,21624,33876,40903,20643,19333,31949,14337,7560,46.1,207491,200048,65291,53846,207491,100008,107483,53846,23764,30082
0500000US06045,"Mendocino County, California",87628,42946,44682,5326,5195,5659,5777,3747,10321,9764,10697,6018,7643,11028,4463,1990,42.8,68310,64599,21668,17481,68310,33691,34619,17481,7961,9520
0500000US06047,"Merced County, California",268672,135524,133148,21688,23215,21878,22677,21168,38805,32870,30404,13594,13390,16716,8213,4054,30.9,188400,174315,35813,28983,188400,94316,94084,28983,13333,15650
0500000US06053,"Monterey County, California",435232,222251,212981,32659,32390,31972,30956,31812,63220,56134,52396,24752,23700,32034,15192,8015,34,320446,299943,67829,55241,320446,162889,157557,55241,24940,30301
0500000US06055,"Napa County, California",142166,70550,71616,7366,8382,8947,8527,9792,17179,17715,19106,10056,9309,14432,7820,3535,41,112071,107142,31672,25787,112071,55303,56768,25787,11893,13894
0500000US06057,"Nevada County, California",99107,50350,48757,3698,4658,6245,4623,4159,10611,10027,11785,8358,9275,15720,6458,3490,50.2,81380,79549,31588,25668,81380,40278,41102,25668,12336,13332
0500000US06059,"Orange County, California",3172532,1565562,1606970,188873,188948,207586,208807,218622,453741,413720,458469,208077,182491,250608,129954,62636,37.7,2459891,2334135,546881,443198,2459891,1201523,1258368,443198,196034,247164
0500000US06061,"Placer County, California",380531,185096,195435,20112,24449,25107,25257,18957,41749,48228,53206,26648,24667,41508,20554,10089,41.9,295157,281456,86013,72151,295157,141805,153352,72151,31768,40383
0500000US06065,"Riverside County, California",2387741,1187627,1200114,157515,172565,174906,177388,170753,329408,301969,305302,145226,121151,188926,101433,41199,35.3,1773804,1666247,400091,331558,1773804,875230,898574,331558,151015,180543
