Weighted/Muni,Registered Voters ,"Clinton, Hillary ","Trump, Donald J. ",Write-in 60 ,WtTotal,,Weighted/Muni,Municode,Registered Voters ,Total Votes,Johnson/Gray (LIB),Obama/Biden (DEM),Romney/Ryan (REP)
Ketchikan Gateway,10512,1966.695802,3451.907138,153.0118089,6267.15017,,Ketchikan Gateway,Ketchikan,10257,5905.592707,212.0615432,2262.78421,3266.635409
Prince of Wales-Hyder,4630,1076.455803,1295.12506,91.03969592,2830.673904,,Prince of Wales-Hyder,Prince of Wales-Hyder,4371,2482.062762,76.24328803,1298.248629,1045.10163
Sitka,7218,2110.994,1811.544401,115.7036224,4427.915868,,Sitka,Sitka,7074,4415.265365,133.0896465,2340.002643,1830.694119
Petersburg,2741,569.639406,915.3659336,50.79656188,1706.007455,,Petersburg,Petersburg,2648,1729.880554,59.21154514,776.0660176,867.4595486
Wrangell,1731,270.9928975,751.941311,19.08191345,1124.152497,,Wrangell,Wrangell,1658,1143.064441,26.86220733,362.6311787,738.6862877
Hoonah-Angoon,1939,743.2020061,446.4813354,31.42580797,1411.84474,,Hoonah-Angoon,Hoonah-Angoon,1958,1255.174007,34.85369831,743.6459358,453.5761231
Juneau,25481,8728.253468,5685.019948,440.0070914,16436.90853,,Juneau,JNU,25019,16116.43526,406.3699832,9253.246898,6110.863835
Valdez-Cordova,8087,1258.296956,2541.182013,137.0884469,4449.253456,,Valdez-Cordova,VC,8037,4343.914388,136.1236941,1575.330231,2523.305413
Haines,2297,730.434798,665.7254194,57.39157895,1637.431772,,Haines,Haines,2240,1310.479513,46.59632706,594.9659062,625.5410845
Skagway,1119,443.3318191,228.8894532,43.54191914,828.9150644,,Skagway,Skagway,1010,613.0453894,25.71176128,355.4085811,187.4419634
Yakutat,458,161.5832868,135.8758713,12.9780196,343.0859077,,Yakutat,Yakutat,444,305.2915884,10.76783027,171.1174232,122.2830379
Yukon-Koyukuk,4128,1526.951531,796.3433633,82.01315729,2676.39738,,Yukon-Koyukuk,YK,4168,2388.997632,63.58114151,1471.450436,813.0623733
Bethel,10216,2689.767625,1093.102364,285.0200098,4892.23282,,Bethel,Bethel,9765,4810.611592,140.085401,3425.62148,1151.530057
Southeast Fairbanks,5341,663.4843198,2422.445567,77.39693328,3406.365158,,Southeast Fairbanks,SEF,5414,3089.24321,84.56874456,680.4629218,2250.312749
Wade Hampton,4260,1192.747794,397.6528905,136.569283,2018.481387,,Wade Hampton,Wade-Hampton,3773,2228.141959,32.05580679,1715.490873,389.3835707
Kenai Peninsula,44774,7533.489696,18284.39739,645.3696309,28840.62717,,Kenai Peninsula,Kenai,42136,25995.41754,592.2138627,7726.077223,17148.85739
Fairbanks North Star,70979,13506.42775,22019.26474,1312.814645,40876.37584,,Fairbanks North Star,F,71480,40539.23828,1161.469329,14710.45969,23755.54849
Denali,1785,391.9695985,584.322767,33.99683823,1105.604027,,Denali,Denali,1743,922.7855441,16.63816754,406.7180922,473.8836066
Matanuska-Susitna,69741,8553.708404,31714.33725,1082.7624,44911.8762,,Matanuska-Susitna,Mat-Su,61924,38343.15653,964.5891226,9327.004548,27325.91852
Anchorage,216679,54025.15885,61004.81352,3584.755285,130040.3299,,Anchorage,ANC,208086,125169.1333,2746.232431,54042.76021,66387.08467
Kodiak Island,9609,1981.629171,3043.511418,136.765827,5764.475667,,Kodiak Island,Kodiak,9669,5369.370069,127.0007332,2080.503695,3061.934499
Lake and Peninsula,1199,191.5923868,172.6471628,28.58309336,496.3026353,,Lake and Peninsula,Lake and Peninsula,1194,371.9037847,9.539678402,211.5105113,143.0527462
Aleutians East,1489,166.7851392,295.2731783,11.45866107,529.2938509,,Aleutians East,Aleutians East,1405,549.3755767,10.14093924,234.1205297,292.3956838
Dillingham,3118,978.5304888,651.1273203,52.38033174,1883.368093,,Dillingham,Dillingham,3004,1639.278557,49.23897937,967.8965642,590.9721078
Aleutians West,2537,691.6212365,398.7640134,50.58591739,1213.502975,,Aleutians West,Aleutians West,2421,1238.761919,21.14128942,777.4285038,426.5733425
Bristol Bay,822,136.2017638,267.8364113,4.083008929,453.2706149,,Bristol Bay,Bristol Bay,870,425.8455264,15.7266797,147.1474019,251.5416384
Nome,6161,1662.960528,919.619978,236.6415578,3242.820912,,Nome,Nome,5896,3558.533046,106.8861691,2264.899663,1095.360112
Northwest Arctic,4455,1145.541587,554.6990254,137.1046555,2148.834688,,Northwest Arctic,NW Arctic,4286,2002.022101,48.91659263,1310.12509,611.5911249
North Slope,4660,1081.551885,797.7837589,141.6322978,2302.501355,,North Slope,North Slope,4482,2232.977899,34.08340737,1406.87491,735.4088751
Total,528166,116180,163347,9192,318266,,Total,Total,506432,300495,7392,122640,164676
