,id,total_pop,total_pop_one_race,pop_white,pop_african_american,pop_native,pop_asian,pop_islander,pop_other,total_pop_two_races,County_x,State_x,State_y,County_y,2016_total_votes,Obama,Romney,2012_total_votes,2010_land_area,Density,central_outlying,Target,state,county,poverty_total,poverty_under_18,median_household_income
0,0500000US01001,58805.0,55648.0,42160.0,11445.0,217.0,881.0,35.0,910.0,3157.0,Autauga County, Alabama,Alabama,Autauga County,24661.0,6354.0,17366.0,23909.0,594,93.0,Central,Trump,Alabama,Autauga County,6459.0,2530.0,53049.0
1,0500000US01003,231767.0,216743.0,189399.0,18217.0,1582.0,2067.0,143.0,5335.0,15024.0,Baldwin County, Alabama,Alabama,Baldwin County,94090.0,18329.0,65772.0,84988.0,1590,128.0,Central,Trump,Alabama,Baldwin County,24056.0,8357.0,47618.0
2,0500000US01005,25223.0,24523.0,11317.0,11933.0,116.0,117.0,1.0,1039.0,700.0,Barbour County, Alabama,Alabama,Barbour County,10390.0,5873.0,5539.0,11459.0,885,30.0,Central,Trump,Alabama,Barbour County,6098.0,2145.0,33074.0
3,0500000US01007,22293.0,21534.0,16555.0,4413.0,60.0,32.0,9.0,465.0,759.0,Bibb County, Alabama,Alabama,Bibb County,8748.0,2200.0,6131.0,8391.0,623,36.0,Outlying,Trump,Alabama,Bibb County,4316.0,1448.0,35472.0
4,0500000US01009,59134.0,55478.0,50663.0,845.0,337.0,178.0,24.0,3431.0,3656.0,Blount County, Alabama,Alabama,Blount County,25384.0,2961.0,20741.0,23980.0,645,89.0,Outlying,Trump,Alabama,Blount County,9358.0,3356.0,42906.0
5,0500000US01011,10357.0,10109.0,2320.0,7396.0,72.0,9.0,10.0,302.0,248.0,Bullock County, Alabama,Alabama,Bullock County,4701.0,4058.0,1250.0,5318.0,623,17.0,Rural,Clinton,Alabama,Bullock County,2866.0,958.0,25969.0
6,0500000US01013,19051.0,18464.0,9752.0,8430.0,29.0,143.0,5.0,105.0,587.0,Butler County, Alabama,Alabama,Butler County,8685.0,4367.0,5081.0,9483.0,777,26.0,Rural,Trump,Alabama,Butler County,5791.0,1971.0,29500.0
7,0500000US01015,116441.0,110412.0,80586.0,25559.0,487.0,1190.0,119.0,2471.0,6029.0,Calhoun County, Alabama,Alabama,Calhoun County,47376.0,15500.0,30272.0,46240.0,606,191.0,Central,Trump,Alabama,Calhoun County,27152.0,8373.0,37916.0
8,0500000US01017,34772.0,33562.0,18850.0,13512.0,106.0,401.0,13.0,680.0,1210.0,Chambers County, Alabama,Alabama,Chambers County,13778.0,6853.0,7596.0,14562.0,597,57.0,Central,Trump,Alabama,Chambers County,9618.0,3290.0,30061.0
9,0500000US01019,24971.0,24051.0,22707.0,987.0,109.0,56.0,1.0,191.0,920.0,Cherokee County, Alabama,Alabama,Cherokee County,10503.0,2126.0,7494.0,9761.0,554,47.0,Rural,Trump,Alabama,Cherokee County,5434.0,1816.0,34410.0
10,0500000US01021,45014.0,43011.0,35527.0,4067.0,338.0,181.0,6.0,2892.0,2003.0,Chilton County, Alabama,Alabama,Chilton County,18255.0,3391.0,13910.0,17434.0,693,63.0,Outlying,Trump,Alabama,Chilton County,8813.0,3447.0,38553.0
11,0500000US01023,12665.0,12405.0,7074.0,5232.0,30.0,22.0,0.0,47.0,260.0,Choctaw County, Alabama,Alabama,Choctaw County,7268.0,3785.0,4150.0,7965.0,914,14.0,Rural,Trump,Alabama,Choctaw County,2826.0,922.0,32003.0
12,0500000US01025,23087.0,22535.0,12029.0,10255.0,74.0,94.0,1.0,82.0,552.0,Clarke County, Alabama,Alabama,Clarke County,12936.0,6317.0,7463.0,13827.0,1238,20.0,Rural,Trump,Alabama,Clarke County,6332.0,2110.0,33739.0
13,0500000US01027,14236.0,13641.0,11375.0,1963.0,56.0,48.0,4.0,195.0,595.0,Clay County, Alabama,Alabama,Clay County,6572.0,1770.0,4802.0,6640.0,604,22.0,Rural,Trump,Alabama,Clay County,2802.0,918.0,33035.0
14,0500000US01029,15056.0,14490.0,13819.0,466.0,53.0,21.0,2.0,129.0,566.0,Cleburne County, Alabama,Alabama,Cleburne County,6532.0,971.0,5269.0,6302.0,560,27.0,Rural,Trump,Alabama,Cleburne County,2621.0,932.0,37566.0
15,0500000US01031,53465.0,49358.0,37080.0,8760.0,640.0,909.0,61.0,1908.0,4107.0,Coffee County, Alabama,Alabama,Coffee County,20513.0,4899.0,14638.0,19715.0,679,75.0,Central,Trump,Alabama,Coffee County,9939.0,3588.0,40779.0
16,0500000US01033,57227.0,54530.0,43631.0,9286.0,270.0,432.0,9.0,902.0,2697.0,Colbert County, Alabama,Alabama,Colbert County,24626.0,9160.0,13931.0,23374.0,593,92.0,Central,Trump,Alabama,Colbert County,10329.0,3812.0,37455.0
17,0500000US01035,11597.0,11228.0,5912.0,5104.0,72.0,40.0,1.0,99.0,369.0,Conecuh County, Alabama,Alabama,Conecuh County,6543.0,3551.0,3434.0,7013.0,850,15.0,Rural,Trump,Alabama,Conecuh County,3378.0,1229.0,27855.0
18,0500000US01037,10387.0,10033.0,6824.0,3008.0,31.0,8.0,0.0,162.0,354.0,Coosa County, Alabama,Alabama,Coosa County,5223.0,2188.0,3028.0,5243.0,651,16.0,Outlying,Trump,Alabama,Coosa County,2125.0,687.0,33721.0
19,0500000US01039,37570.0,36128.0,30877.0,4607.0,147.0,240.0,0.0,257.0,1442.0,Covington County, Alabama,Alabama,Covington County,15818.0,3155.0,12148.0,15415.0,1030,37.0,Rural,Trump,Alabama,Covington County,7769.0,2532.0,33484.0
20,0500000US01041,13194.0,12715.0,9388.0,3103.0,62.0,83.0,2.0,77.0,479.0,Crenshaw County, Alabama,Alabama,Crenshaw County,6252.0,2048.0,4326.0,6411.0,609,23.0,Rural,Trump,Alabama,Crenshaw County,2783.0,983.0,35577.0
21,0500000US01043,87866.0,83209.0,79142.0,937.0,408.0,522.0,64.0,2136.0,4657.0,Cullman County, Alabama,Alabama,Cullman County,37278.0,4855.0,27930.0,33178.0,735,112.0,Central,Trump,Alabama,Cullman County,15242.0,4899.0,37948.0
22,0500000US01045,49326.0,45906.0,33429.0,10241.0,270.0,671.0,52.0,1243.0,3420.0,Dale County, Alabama,Alabama,Dale County,18617.0,5283.0,13105.0,18551.0,561,88.0,Central,Trump,Alabama,Dale County,8795.0,3152.0,41287.0
