CBSA Title, Population , Clinton , Trump , Vote Difference C-T , Obama 2012 , Romney 2012 , Vote Difference O-R ,Clinton B(W) Obama,Trump B(W) Romney, Land Area Sq Mi , Density/Sq Mi 
"New York-Newark-Jersey City, NY-NJ-PA Total"," 20,182,305 "," 4,867,260 "," 2,681,324 "," 2,185,936 "," 3,979,929 "," 2,172,815 "," 1,807,114 "," 887,331 "," 508,509 "," 8,294 "," 2,433 "
"Los Angeles-Long Beach-Anaheim, CA Total"," 13,340,068 "," 3,074,325 "," 1,276,891 "," 1,797,434 "," 2,129,241 "," 1,241,192 "," 888,049 "," 945,084 "," 35,699 "," 4,848 "," 2,751 "
"Chicago-Naperville-Elgin, IL-IN-WI Total"," 9,551,031 "," 2,572,616 "," 1,237,994 "," 1,334,622 "," 2,337,624 "," 1,282,464 "," 1,055,160 "," 234,992 "," (44,470)"," 7,197 "," 1,327 "
"Dallas-Fort Worth-Arlington, TX Total"," 7,102,796 "," 1,070,861 "," 1,243,485 "," (172,624)"," 900,596 "," 1,222,260 "," (321,664)"," 170,265 "," 21,225 "," 9,278 ", 766 
"Houston-The Woodlands-Sugar Land, TX Total"," 6,656,947 "," 991,171 "," 1,012,507 "," (21,336)"," 809,464 "," 1,025,477 "," (216,013)"," 181,707 "," (12,970)"," 8,258 ", 806 
"Washington-Arlington-Alexandria, DC-VA-MD-WV Total"," 6,097,684 "," 1,950,984 "," 735,001 "," 1,215,983 "," 1,647,859 "," 783,071 "," 864,788 "," 303,125 "," (48,070)"," 6,244 ", 977 
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Total"," 6,069,875 "," 1,850,036 "," 1,022,842 "," 827,194 "," 1,754,922 "," 966,623 "," 788,299 "," 95,114 "," 56,219 "," 4,602 "," 1,319 "
"Miami-Fort Lauderdale-West Palm Beach, FL Total"," 6,012,331 "," 1,552,139 "," 867,352 "," 684,787 "," 1,397,624 "," 823,591 "," 574,033 "," 154,515 "," 43,761 "," 5,077 "," 1,184 "
"Atlanta-Sandy Springs-Roswell, GA Total"," 5,710,795 "," 1,250,397 "," 1,057,123 "," 193,274 "," 1,099,379 "," 1,095,015 "," 4,364 "," 151,018 "," (37,892)"," 8,686 ", 657 
"Boston-Cambridge-Newton, MA-NH Total"," 4,774,321 "," 1,460,641 "," 761,141 "," 699,500 "," 1,342,395 "," 854,937 "," 487,458 "," 118,246 "," (93,796)"," 3,487 "," 1,369 "
"San Francisco-Oakland-Hayward, CA Total"," 4,656,132 "," 1,525,802 "," 329,266 "," 1,196,536 "," 1,161,260 "," 339,122 "," 822,138 "," 364,542 "," (9,856)"," 2,471 "," 1,885 "
"Phoenix-Mesa-Scottsdale, AZ Total"," 4,574,531 "," 750,799 "," 820,180 "," (69,381)"," 553,436 "," 713,782 "," (160,346)"," 197,363 "," 106,398 "," 14,566 ", 314 
"Riverside-San Bernardino-Ontario, CA Total"," 4,489,159 "," 714,528 "," 604,483 "," 110,045 "," 561,957 "," 535,695 "," 26,262 "," 152,571 "," 68,788 "," 27,263 ", 165 
"Detroit-Warren-Dearborn, MI Total"," 4,302,043 "," 1,110,502 "," 887,629 "," 222,873 "," 1,242,117 "," 824,814 "," 417,303 "," (131,615)"," 62,815 "," 3,888 "," 1,106 "
"Seattle-Tacoma-Bellevue, WA Total"," 3,733,580 "," 1,076,087 "," 491,418 "," 584,669 "," 950,201 "," 517,758 "," 432,443 "," 125,886 "," (26,340)"," 5,872 ", 636 
"Minneapolis-St. Paul-Bloomington, MN-WI Total"," 3,524,583 "," 994,835 "," 755,630 "," 239,205 "," 1,044,754 "," 822,855 "," 221,899 "," (49,919)"," (67,225)"," 7,637 ", 462 
"San Diego-Carlsbad, CA Total"," 3,299,521 "," 735,476 "," 477,766 "," 257,710 "," 478,386 "," 431,046 "," 47,340 "," 257,090 "," 46,720 "," 4,207 ", 784 
"Tampa-St. Petersburg-Clearwater, FL Total"," 2,975,225 "," 663,534 "," 707,142 "," (43,608)"," 661,063 "," 620,337 "," 40,726 "," 2,471 "," 86,805 "," 2,513 "," 1,184 "
"Denver-Aurora-Lakewood, CO Total"," 2,814,330 "," 761,076 "," 536,923 "," 224,153 "," 672,008 "," 518,107 "," 153,901 "," 89,068 "," 18,816 "," 8,346 ", 337 
"St. Louis, MO-IL Total"," 2,811,588 "," 645,962 "," 656,719 "," (10,757)"," 708,538 "," 617,109 "," 91,429 "," (62,576)"," 39,610 "," 7,863 ", 358 
"Baltimore-Columbia-Towson, MD Total"," 2,797,407 "," 733,718 "," 497,637 "," 236,081 "," 684,107 "," 480,781 "," 203,326 "," 49,611 "," 16,856 "," 2,601 "," 1,075 "
"Charlotte-Concord-Gastonia, NC-SC Total"," 2,426,363 "," 511,612 "," 561,950 "," (50,338)"," 487,495 "," 533,535 "," (46,040)"," 24,117 "," 28,415 "," 5,067 ", 479 
"Portland-Vancouver-Hillsboro, OR-WA Total"," 2,389,228 "," 672,364 "," 371,379 "," 300,985 "," 601,791 "," 369,658 "," 232,133 "," 70,573 "," 1,721 "," 6,684 ", 357 
"Orlando-Kissimmee-Sanford, FL Total"," 2,387,138 "," 584,104 "," 457,148 "," 126,956 "," 499,653 "," 427,214 "," 72,439 "," 84,451 "," 29,934 "," 3,478 ", 686 
"San Antonio-New Braunfels, TX Total"," 2,384,075 "," 371,623 "," 380,665 "," (9,042)"," 310,563 "," 365,331 "," (54,768)"," 61,060 "," 15,334 "," 7,313 ", 326 
"Pittsburgh, PA Total"," 2,353,045 "," 549,847 "," 608,057 "," (58,210)"," 545,787 "," 559,798 "," (14,011)"," 4,060 "," 48,259 "," 5,281 ", 446 
"Sacramento--Roseville--Arden-Arcade, CA Total"," 2,274,194 "," 490,688 "," 354,913 "," 135,775 "," 343,078 "," 300,889 "," 42,189 "," 147,610 "," 54,024 "," 5,094 ", 446 
"Cincinnati, OH-KY-IN Total"," 2,157,719 "," 403,869 "," 587,167 "," (183,298)"," 407,170 "," 573,427 "," (166,257)"," (3,301)"," 13,740 "," 4,169 ", 518 
"Las Vegas-Henderson-Paradise, NV Total"," 2,114,801 "," 402,227 "," 320,057 "," 82,170 "," 387,978 "," 288,223 "," 99,755 "," 14,249 "," 31,834 "," 7,891 ", 268 
"Kansas City, MO-KS Total"," 2,087,471 "," 431,754 "," 447,140 "," (15,386)"," 438,765 "," 464,149 "," (25,384)"," (7,011)"," (17,009)"," 7,256 ", 288 
"Cleveland-Elyria, OH Total"," 2,060,810 "," 561,368 "," 400,321 "," 161,047 "," 611,420 "," 379,288 "," 232,132 "," (50,052)"," 21,033 "," 1,997 "," 1,032 "
"Columbus, OH Total"," 2,021,632 "," 475,027 "," 429,930 "," 45,097 "," 466,108 "," 413,844 "," 52,264 "," 8,919 "," 16,086 "," 4,797 ", 421 
"Austin-Round Rock, TX Total"," 2,000,860 "," 441,316 "," 288,229 "," 153,087 "," 333,447 "," 288,027 "," 45,420 "," 107,869 ", 202 ," 4,220 ", 474 
"Indianapolis-Carmel-Anderson, IN Total"," 1,988,817 "," 363,921 "," 440,706 "," (76,785)"," 360,367 "," 422,524 "," (62,157)"," 3,554 "," 18,182 "," 4,306 ", 462 
"San Jose-Sunnyvale-Santa Clara, CA Total"," 1,976,836 "," 524,205 "," 152,667 "," 371,538 "," 351,856 "," 142,399 "," 209,457 "," 172,349 "," 10,268 "," 2,679 ", 738 
"Nashville-Davidson--Murfreesboro--Franklin, TN Total"," 1,830,345 "," 281,062 "," 398,113 "," (117,051)"," 273,369 "," 384,755 "," (111,386)"," 7,693 "," 13,358 "," 6,302 ", 290 
"Virginia Beach-Norfolk-Newport News, VA-NC Total"," 1,724,876 "," 398,446 "," 336,008 "," 62,438 "," 421,917 "," 339,307 "," 82,610 "," (23,471)"," (3,299)"," 2,691 ", 641 
"Providence-Warwick, RI-MA Total"," 1,613,070 "," 381,428 "," 285,933 "," 95,495 "," 416,823 "," 248,803 "," 168,020 "," (35,395)"," 37,130 "," 1,587 "," 1,016 "
"Milwaukee-Waukesha-West Allis, WI Total"," 1,575,747 "," 409,068 "," 350,816 "," 58,252 "," 447,918 "," 410,697 "," 37,221 "," (38,850)"," (59,881)"," 1,455 "," 1,083 "
"Jacksonville, FL Total"," 1,449,481 "," 289,606 "," 419,879 "," (130,273)"," 270,116 "," 398,939 "," (128,823)"," 19,490 "," 20,940 "," 3,201 ", 453 
"Oklahoma City, OK Total"," 1,358,452 "," 176,770 "," 299,065 "," (122,295)"," 167,968 "," 291,924 "," (123,956)"," 8,802 "," 7,141 "," 5,512 ", 246 
"Memphis, TN-MS-AR Total"," 1,344,127 "," 265,987 "," 213,548 "," 52,439 "," 295,525 "," 229,211 "," 66,314 "," (29,538)"," (15,663)"," 4,984 ", 270 
"Louisville/Jefferson County, KY-IN Total"," 1,278,413 "," 263,077 "," 297,247 "," (34,170)"," 268,529 "," 280,479 "," (11,950)"," (5,452)"," 16,768 "," 3,578 ", 357 
"Raleigh, NC Total"," 1,273,568 "," 343,972 "," 266,822 "," 77,150 "," 327,308 "," 295,619 "," 31,689 "," 16,664 "," (28,797)"," 2,118 ", 601 
"Richmond, VA Total"," 1,271,334 "," 336,136 "," 277,482 "," 58,654 "," 325,073 "," 294,600 "," 30,473 "," 11,063 "," (17,118)"," 4,576 ", 278 
"New Orleans-Metairie, LA Total"," 1,262,888 "," 271,328 "," 262,388 "," 8,940 "," 259,698 "," 258,733 ", 965 ," 11,630 "," 3,655 "," 3,202 ", 394 
"Hartford-West Hartford-East Hartford, CT Total"," 1,211,324 "," 324,266 "," 221,234 "," 103,032 "," 331,448 "," 208,572 "," 122,876 "," (7,182)"," 12,662 "," 1,515 ", 800 
"Salt Lake City, UT Total"," 1,170,266 "," 180,436 "," 149,212 "," 31,224 "," 136,480 "," 210,979 "," (74,499)"," 43,956 "," (61,767)"," 7,684 ", 152 
"Birmingham-Hoover, AL Total"," 1,145,647 "," 196,877 "," 308,383 "," (111,506)"," 200,495 "," 304,072 "," (103,577)"," (3,618)"," 4,311 "," 5,280 ", 217 
"Buffalo-Cheektowaga-Niagara Falls, NY Total"," 1,135,230 "," 251,015 "," 240,264 "," 10,751 "," 261,046 "," 200,075 "," 60,971 "," (10,031)"," 40,189 "," 1,565 ", 725 
"Rochester, NY Total"," 1,081,954 "," 243,124 "," 219,877 "," 23,247 "," 235,233 "," 190,638 "," 44,595 "," 7,891 "," 29,239 "," 3,266 ", 331 
"Grand Rapids-Wyoming, MI Total"," 1,038,583 "," 200,644 "," 272,756 "," (72,112)"," 200,555 "," 276,579 "," (76,024)", 89 ," (3,823)"," 2,669 ", 389 
"Tucson, AZ Total"," 1,010,025 "," 224,661 "," 167,428 "," 57,233 "," 183,470 "," 162,927 "," 20,543 "," 41,191 "," 4,501 "," 9,187 ", 110 
"Urban Honolulu, HI Total"," 998,714 "," 175,696 "," 90,326 "," 85,370 "," 201,803 "," 87,255 "," 114,548 "," (26,107)"," 3,071 ", 601 ," 1,662 "
"Tulsa, OK Total"," 981,005 "," 119,639 "," 246,001 "," (126,362)"," 120,590 "," 235,409 "," (114,819)", (951)," 10,592 "," 6,269 ", 156 
"Fresno, CA Total"," 974,861 "," 141,341 "," 124,049 "," 17,292 "," 85,862 "," 91,143 "," (5,281)"," 55,479 "," 32,906 "," 5,958 ", 164 
"Bridgeport-Stamford-Norwalk, CT Total"," 948,053 "," 243,852 "," 160,077 "," 83,775 "," 214,757 "," 172,238 "," 42,519 "," 29,095 "," (12,161)", 625 ," 1,517 "
"Worcester, MA-CT Total"," 935,536 "," 220,570 "," 183,429 "," 37,141 "," 221,620 "," 181,780 "," 39,840 "," (1,050)"," 1,649 "," 2,024 ", 462 
"Omaha-Council Bluffs, NE-IA Total"," 915,312 "," 170,037 "," 211,067 "," (41,030)"," 159,970 "," 199,693 "," (39,723)"," 10,067 "," 11,374 "," 4,350 ", 210 
"Albuquerque, NM Total"," 907,301 "," 183,750 "," 137,532 "," 46,218 "," 189,901 "," 144,675 "," 45,226 "," (6,151)"," (7,143)"," 9,283 ", 98 
"Bakersfield, CA Total"," 882,176 "," 98,689 "," 129,584 "," (30,895)"," 64,690 "," 99,840 "," (35,150)"," 33,999 "," 29,744 "," 8,132 ", 108 
"Albany-Schenectady-Troy, NY Total"," 881,830 "," 204,694 "," 173,895 "," 30,799 "," 203,119 "," 147,555 "," 55,564 "," 1,575 "," 26,340 "," 2,812 ", 314 
"Greenville-Anderson-Mauldin, SC Total"," 874,869 "," 114,823 "," 237,116 "," (122,293)"," 111,112 "," 217,118 "," (106,006)"," 3,711 "," 19,998 "," 2,711 ", 323 
"Knoxville, TN Total"," 861,424 "," 99,215 "," 222,902 "," (123,687)"," 99,893 "," 215,206 "," (115,313)", (678)," 7,696 "," 3,501 ", 246 
"New Haven-Milford, CT Total"," 859,470 "," 205,609 "," 159,048 "," 46,561 "," 230,040 "," 137,942 "," 92,098 "," (24,431)"," 21,106 ", 605 ," 1,422 "
